objectid,elect_div,area_sqkm,sortname,globalid,e_div_numb,numccds,actual,projected,total_popu,australian,Shape__Area,Shape__Length
1,Banks,49.47,Banks,3270f40c-8d66-4f8a-9a93-2f9bf04be3e6,1,359,0,0,0,0,77234281.9453125,48470.4071706084
2,Barton,39.65,Barton,aa6ab959-eec1-4095-b374-b53874a7ed80,2,386,0,0,0,0,57677468.609375,34430.1172007708
3,Bennelong,58.76,Bennelong,33fcebe5-17d6-4b24-a835-8d8fdc5c3185,3,364,0,0,0,0,87446900.6328125,53115.1699524271
4,Berowra,741.64,Berowra,b367a838-dab1-4a0b-95f2-76b47446ccfb,4,389,0,0,0,0,1135355168.16406,257471.899903356
5,Blaxland,61.16,Blaxland,2cb1dd7a-7566-496b-a966-e40c1b99fdcc,5,419,0,0,0,0,88948958.8984375,47172.530944179
6,Bradfield,100.58,Bradfield,8e14f7ac-f250-4979-9f8c-95cd6ca1259b,6,382,0,0,0,0,146929557.609375,70818.9356464244
7,Calare,32647.97,Calare,a2b68611-f305-46ce-b7a3-ae6bb72cf239,7,440,0,0,0,0,46640430456.6094,1783266.93455484
8,Chifley,125.9,Chifley,d5746928-bc1f-44bf-92fb-7b512228ff90,8,410,0,0,0,0,182505391.988281,63877.4672577431
9,Cook,64.4,Cook,49da016c-b560-4bdc-9659-46a0a711afc0,9,348,0,0,0,0,136894702.292969,66475.9628192399
10,Cowper,7288.1,Cowper,bd0b6f4c-7703-43b6-8e3c-6447d2344d98,10,444,0,0,0,0,9903188480.71875,665005.752982191
11,Cunningham,516.34,Cunningham,e256563a-b46b-42bf-980a-14a0b112eda3,11,403,0,0,0,0,762498295.96875,207136.739993985
12,Dobell,720,Dobell,2eabe49f-7a80-48b1-beb6-873e0501ec90,12,383,0,0,0,0,1128028655.42578,196706.593720531
13,Eden-Monaro,41624.37,Eden-Monaro,45949135-8b9a-4fed-84ab-e5123f935961,13,438,0,0,0,0,63815029348.418,2391595.66679025
14,Farrer,126564.02,Farrer,6763b0a0-a965-48e3-8d3c-ee9caeeea566,14,480,0,0,0,0,186176343515.867,4050730.22024843
15,Fowler,60.3,Fowler,c917216a-2f9c-45a1-aee1-da88a0bfca15,15,377,0,0,0,0,87815137.0390625,65324.3540684352
16,Gilmore,6341.26,Gilmore,76977b99-124f-449d-b107-2b9b0428e1b8,16,423,0,0,0,0,9528009726.71094,927545.539200494
17,Grayndler,27.73,Grayndler,5b7ab088-a112-41e7-898b-fa0f2494a724,17,352,0,0,0,0,46928307.2304688,43615.9499830079
18,Greenway,81.27,Greenway,8d406ac7-3aa3-472a-940e-7f323d850ec5,18,367,0,0,0,0,117789257.023438,59877.0145392929
19,Hughes,358.87,Hughes,aecd703e-2860-4ac5-a6b6-a10641fb82e6,19,365,0,0,0,0,538610398.066406,145169.121204359
20,Hume,17236.13,Hume,79dfe195-2803-493d-87f0-f605549b9db8,20,400,0,0,0,0,25405224988.6133,1358163.6878147
21,Hunter,10576.69,Hunter,b9d08f13-28a2-475d-b1c7-be52b5ba3d33,21,432,0,0,0,0,15044001513.6797,823571.442325662
22,Kingsford Smith,57.86,Kingsford Smith,ad80d59e-8318-4a5f-8ed3-6f5d581537e0,22,396,0,0,0,0,132603805.617188,61333.8651135338
23,Lindsay,338.97,Lindsay,6e472712-c56e-4956-bef5-72f0b209470e,23,377,0,0,0,0,491499463.953125,131091.893123354
24,Lyne,16040.73,Lyne,160727da-e480-4e39-93f2-1a5aa91010d0,24,418,0,0,0,0,22419143379.4648,990901.556083417
25,Macarthur,362.6,Macarthur,112e1eb1-313a-4c76-bfc0-3cab33c6730e,25,391,0,0,0,0,529735284.394531,124768.736898248
26,Mackellar,212.29,Mackellar,e2dcb85e-40ba-4442-bc0d-ef8fd0691a90,26,370,0,0,0,0,337468505.253906,119479.572900174
27,Macquarie,4373.46,Macquarie,10e0b9ec-1549-479a-a1ea-9db5631b293c,27,374,0,0,0,0,6302495497.5625,663731.897988279
28,McMahon,168.35,McMahon,25ebc465-09a0-4f8a-85bd-2cfc8cbaca42,28,387,0,0,0,0,244592165.582031,94934.7183043578
29,Mitchell,101.11,Mitchell,8fd33bb3-5160-4d31-816f-8072500aee65,29,334,0,0,0,0,146459440.273438,78488.7582421297
30,New England,66327.59,New England,18b4a440-ef6d-4ce3-8c49-727267a9b2ef,30,422,0,0,0,0,89584783197.1484,2940064.29677798
31,Newcastle,156.76,Newcastle,b161637d-e65e-446c-b8d3-c3af28fa7712,31,371,0,0,0,0,242744807.609375,76869.6610319086
32,North Sydney,41.61,North Sydney,7622cd59-b099-45ab-93a1-0aed783007a5,32,372,0,0,0,0,72577163.8671875,46202.4519502311
33,Page,19318.14,Page,e2634d9d-038a-4f20-93e0-9dbb60851fe1,33,469,0,0,0,0,25510883120.168,1185464.17996
34,Parkes,393047.12,Parkes,ac19676e-d16a-4a08-af02-bd0e1b25383a,34,466,0,0,0,0,536144541304.383,4916576.24106465
35,Parramatta,56.81,Parramatta,025411f6-923d-4661-a350-d217db429835,35,411,0,0,0,0,82413654.421875,48114.7278916027
36,Paterson,1036.73,Paterson,99fc246c-7ca0-4cac-a333-6eaeb3c7b791,36,393,0,0,0,0,1592139705.59766,332562.695187076
37,Reid,49.16,Reid,d2a16a6f-153d-4145-9f20-d49d0be442d4,37,400,0,0,0,0,80023020.90625,47312.0566992968
38,Richmond,2133.02,Richmond,cad02aaa-3f4e-4746-a7fd-e77cc46f6712,38,416,0,0,0,0,2786124035.71094,385695.925636469
39,Riverina,48976.17,Riverina,ab39ff59-a9a5-4713-a654-c4afdfe7b723,39,449,0,0,0,0,71732679594.9922,2256156.7190011
40,Robertson,893.72,Robertson,e8c3fec6-06f5-459b-9147-3852c33be9b6,40,364,0,0,0,0,1408532112.62109,257354.897560131
41,Shortland,199.14,Shortland,b4cae786-5a09-41f1-a0cc-5dd83ad7ce3c,41,368,0,0,0,0,377948803.648438,141678.751206667
42,Sydney,40.64,Sydney,911c36ff-da04-428b-b3be-8f8dfadcd144,42,413,0,0,0,0,62767701.3203125,91874.5460490731
43,Warringah,52.24,Warringah,696ec369-383b-451d-b4ba-57ea91287493,43,352,0,0,0,0,99027525.859375,54828.9244396351
44,Watson,47.47,Watson,d37ab2ea-6525-4ff5-b1aa-7110a74d504c,44,394,0,0,0,0,69084832.125,40911.2104038974
